연도,월,기준월,시도,전기차등록대수,충전량_kWh,충전횟수,충전시간_h,활성충전기수,EV당충전량,EV당충전횟수,활성기당충전량
2019,9,2019-09,울산,1169,53020.32,2870.0,679.71,82.0,45.36,2.46,646.59
2019,9,2019-09,인천,2322,50428.26,2400.0,559.78,61.0,21.72,1.03,826.69
2019,9,2019-09,전남,3259,102682.23,5644.0,1354.86,163.0,31.51,1.73,629.95
2019,9,2019-09,전북,1752,121911.3,6358.0,1625.6,128.0,69.58,3.63,952.43
2019,9,2019-09,제주,17779,143606.72,9090.0,2202.91,81.0,8.08,0.51,1772.92
2019,9,2019-09,충남,2551,166191.62,8836.0,2301.18,161.0,65.15,3.46,1032.25
2019,9,2019-09,충북,2144,156545.23,8531.0,2229.59,141.0,73.02,3.98,1110.25
2019,10,2019-10,강원,2385,138912.49,7732.0,1874.14,222.0,58.24,3.24,625.73
2019,10,2019-10,경기,11035,258159.61,14451.0,3595.9,201.0,23.39,1.31,1284.38
2019,10,2019-10,경남,3592,143185.11,8319.0,2091.55,167.0,39.86,2.32,857.4
2019,10,2019-10,경북,3832,322849.12,17805.0,4467.8,273.0,84.25,4.65,1182.6
2019,10,2019-10,광주,2341,35655.41,1965.0,427.16,38.0,15.23,0.84,938.3
2019,10,2019-10,대구,9733,79295.77,4351.0,1005.12,75.0,8.15,0.45,1057.28
2019,10,2019-10,대전,2361,59272.25,2977.0,649.37,57.0,25.1,1.26,1039.86
2019,10,2019-10,부산,2645,31064.78,1762.0,400.4,34.0,11.74,0.67,913.67
2019,10,2019-10,서울,12711,68347.78,3974.0,920.46,75.0,5.38,0.31,911.3
2019,10,2019-10,세종,867,14412.49,760.0,171.04,22.0,16.62,0.88,655.11
2019,10,2019-10,울산,1198,52324.78,2892.0,673.9,81.0,43.68,2.41,645.98
2019,10,2019-10,인천,2412,51203.77,2558.0,583.75,59.0,21.23,1.06,867.86
2019,10,2019-10,전남,3278,103450.54,5814.0,1366.61,164.0,31.56,1.77,630.8
2019,10,2019-10,전북,1804,129031.6,6906.0,1679.97,128.0,71.53,3.83,1008.06
2019,10,2019-10,제주,17933,148889.52,9414.0,2172.19,78.0,8.3,0.52,1908.84
2019,10,2019-10,충남,2649,191594.48,10243.0,2537.31,166.0,72.33,3.87,1154.18
2019,10,2019-10,충북,2271,167776.58,9232.0,2355.08,147.0,73.88,4.07,1141.34
2019,11,2019-11,강원,2430,143812.94,8485.0,1977.32,218.0,59.18,3.49,659.69
2019,11,2019-11,경기,11388,279273.02,16045.0,3913.32,201.0,24.52,1.41,1389.42
2019,11,2019-11,경남,3623,143868.72,8442.0,2121.88,166.0,39.71,2.33,866.68
2019,11,2019-11,경북,3956,331842.85,18978.0,4527.85,277.0,83.88,4.8,1197.99
2019,11,2019-11,광주,2389,42971.34,2368.0,475.61,39.0,17.99,0.99,1101.83
2019,11,2019-11,대구,11016,89720.14,5052.0,1066.6,74.0,8.14,0.46,1212.43
2019,11,2019-11,대전,2429,62768.51,3267.0,680.29,55.0,25.84,1.34,1141.25
2019,11,2019-11,부산,2953,36740.43,2073.0,474.51,35.0,12.44,0.7,1049.73
2019,11,2019-11,서울,13726,82426.99,4808.0,1006.41,72.0,6.01,0.35,1144.82
2019,11,2019-11,세종,878,15355.04,887.0,189.11,20.0,17.49,1.01,767.75
2019,11,2019-11,울산,1398,62934.84,3322.0,726.78,79.0,45.02,2.38,796.64
2019,11,2019-11,인천,2516,60450.93,3198.0,695.05,59.0,24.03,1.27,1024.59
2019,11,2019-11,전남,3303,107496.21,6310.0,1421.32,177.0,32.55,1.91,607.32
2019,11,2019-11,전북,1823,142026.4,7738.0,1806.01,127.0,77.91,4.24,1118.32
2019,11,2019-11,제주,18062,146222.71,9274.0,2176.69,83.0,8.1,0.51,1761.72
