ref_year,ref_month,기준월,시도,전기차등록대수
2022,8,2022-08,전남,13050
2022,8,2022-08,전북,11353
2022,8,2022-08,제주,28790
2022,8,2022-08,충남,14438
2022,8,2022-08,충북,13210
2022,9,2022-09,강원,12171
2022,9,2022-09,경기,67941
2022,9,2022-09,경남,19453
2022,9,2022-09,경북,17057
2022,9,2022-09,광주,7887
2022,9,2022-09,대구,22329
2022,9,2022-09,대전,12525
2022,9,2022-09,부산,19858
2022,9,2022-09,서울,53798
2022,9,2022-09,세종,2677
2022,9,2022-09,울산,4651
2022,9,2022-09,인천,22375
2022,9,2022-09,전남,13802
2022,9,2022-09,전북,12162
2022,9,2022-09,제주,29556
2022,9,2022-09,충남,15449
2022,9,2022-09,충북,13704
2022,10,2022-10,강원,12845
2022,10,2022-10,경기,72328
2022,10,2022-10,경남,20983
2022,10,2022-10,경북,17859
2022,10,2022-10,광주,8451
2022,10,2022-10,대구,23407
2022,10,2022-10,대전,13385
2022,10,2022-10,부산,21054
2022,10,2022-10,서울,55335
2022,10,2022-10,세종,2825
2022,10,2022-10,울산,4943
2022,10,2022-10,인천,24222
2022,10,2022-10,전남,14437
2022,10,2022-10,전북,12448
2022,10,2022-10,제주,30696
2022,10,2022-10,충남,15987
2022,10,2022-10,충북,14365
2022,11,2022-11,강원,13618
2022,11,2022-11,경기,75811
2022,11,2022-11,경남,22081
2022,11,2022-11,경북,18864
2022,11,2022-11,광주,8733
2022,11,2022-11,대구,24131
2022,11,2022-11,대전,14163
2022,11,2022-11,부산,21916
2022,11,2022-11,서울,57351
2022,11,2022-11,세종,2962
2022,11,2022-11,울산,5030
2022,11,2022-11,인천,25835
2022,11,2022-11,전남,14981
2022,11,2022-11,전북,12622
2022,11,2022-11,제주,32227
2022,11,2022-11,충남,16467
2022,11,2022-11,충북,14933
2022,12,2022-12,강원,14012
2022,12,2022-12,경기,77648
2022,12,2022-12,경남,22740
2022,12,2022-12,경북,19154
2022,12,2022-12,광주,9096
2022,12,2022-12,대구,24161
2022,12,2022-12,대전,14476
2022,12,2022-12,부산,22063
2022,12,2022-12,서울,59327
2022,12,2022-12,세종,3034
2022,12,2022-12,울산,5061
2022,12,2022-12,인천,26242
2022,12,2022-12,전남,15387
2022,12,2022-12,전북,12727
2022,12,2022-12,제주,32976
2022,12,2022-12,충남,16611
