연도,월,기준월,시도,충전량_kWh,충전횟수,충전시간_h,활성충전기수
2021,1,2021-01,전남,199292.51,11856.0,2464.94,323.0
2021,1,2021-01,전북,185181.49,10716.0,2273.26,262.0
2021,1,2021-01,제주,152533.31,9539.0,2142.83,130.0
2021,1,2021-01,충남,338767.06,19859.0,4079.08,357.0
2021,1,2021-01,충북,277197.91,16328.0,3521.31,256.0
2021,2,2021-02,강원,234979.92,13365.0,2913.88,379.0
2021,2,2021-02,경기,436230.87,25776.0,5711.16,385.0
2021,2,2021-02,경남,363198.27,20776.0,4496.35,350.0
2021,2,2021-02,경북,533901.88,30124.0,6764.19,502.0
2021,2,2021-02,광주,71925.28,3940.0,788.71,75.0
2021,2,2021-02,대구,184584.47,10347.0,2044.48,127.0
2021,2,2021-02,대전,114426.36,6665.0,1286.57,85.0
2021,2,2021-02,부산,83503.98,4853.0,984.14,63.0
2021,2,2021-02,서울,171448.94,10714.0,2058.33,145.0
2021,2,2021-02,세종,55183.35,3226.0,666.64,41.0
2021,2,2021-02,울산,67305.44,3825.0,866.2,115.0
