기준월,연도,월,시도,충전량_kWh,value_status,관측값,estimated_value,하한_80,상한_80,모형ID,출처ID
2020-01,2020,1,울산,56265.48,observed,56265.48,,,,,moe_public_fast_monthly
2020-01,2020,1,인천,67363.11,observed,67363.11,,,,,moe_public_fast_monthly
2020-01,2020,1,전남,99064.11,observed,99064.11,,,,,moe_public_fast_monthly
2020-01,2020,1,전북,132956.34,observed,132956.34,,,,,moe_public_fast_monthly
2020-01,2020,1,제주,142058.87,observed,142058.87,,,,,moe_public_fast_monthly
2020-01,2020,1,충남,191219.7,observed,191219.7,,,,,moe_public_fast_monthly
2020-01,2020,1,충북,183905.16,observed,183905.16,,,,,moe_public_fast_monthly
2020-02,2020,2,강원,121679.43,observed,121679.43,,,,,moe_public_fast_monthly
2020-02,2020,2,경기,226490.16,observed,226490.16,,,,,moe_public_fast_monthly
2020-02,2020,2,경남,107012.48,observed,107012.48,,,,,moe_public_fast_monthly
2020-02,2020,2,경북,253678.14,observed,253678.14,,,,,moe_public_fast_monthly
2020-02,2020,2,광주,31760.44,observed,31760.44,,,,,moe_public_fast_monthly
2020-02,2020,2,대구,88823.42,observed,88823.42,,,,,moe_public_fast_monthly
2020-02,2020,2,대전,51466.79,observed,51466.79,,,,,moe_public_fast_monthly
2020-02,2020,2,부산,33338.77,observed,33338.77,,,,,moe_public_fast_monthly
2020-02,2020,2,서울,73389.44,observed,73389.44,,,,,moe_public_fast_monthly
2020-02,2020,2,세종,14542.53,observed,14542.53,,,,,moe_public_fast_monthly
2020-02,2020,2,울산,45033.18,observed,45033.18,,,,,moe_public_fast_monthly
2020-02,2020,2,인천,58852.42,observed,58852.42,,,,,moe_public_fast_monthly
2020-02,2020,2,전남,77030.19,observed,77030.19,,,,,moe_public_fast_monthly
2020-02,2020,2,전북,100459.97,observed,100459.97,,,,,moe_public_fast_monthly
2020-02,2020,2,제주,111087.49,observed,111087.49,,,,,moe_public_fast_monthly
2020-02,2020,2,충남,145257.93,observed,145257.93,,,,,moe_public_fast_monthly
2020-02,2020,2,충북,144554.69,observed,144554.69,,,,,moe_public_fast_monthly
2020-03,2020,3,강원,113021.85,observed,113021.85,,,,,moe_public_fast_monthly
2020-03,2020,3,경기,238753.37,observed,238753.37,,,,,moe_public_fast_monthly
2020-03,2020,3,경남,111956.58,observed,111956.58,,,,,moe_public_fast_monthly
2020-03,2020,3,경북,222417.29,observed,222417.29,,,,,moe_public_fast_monthly
2020-03,2020,3,광주,32093.51,observed,32093.51,,,,,moe_public_fast_monthly
2020-03,2020,3,대구,80763.96,observed,80763.96,,,,,moe_public_fast_monthly
2020-03,2020,3,대전,50737.67,observed,50737.67,,,,,moe_public_fast_monthly
2020-03,2020,3,부산,30301.78,observed,30301.78,,,,,moe_public_fast_monthly
2020-03,2020,3,서울,78846.65,observed,78846.65,,,,,moe_public_fast_monthly
2020-03,2020,3,세종,14373.8,observed,14373.8,,,,,moe_public_fast_monthly
2020-03,2020,3,울산,42945.13,observed,42945.13,,,,,moe_public_fast_monthly
2020-03,2020,3,인천,65394.99,observed,65394.99,,,,,moe_public_fast_monthly
2020-03,2020,3,전남,95842.24,observed,95842.24,,,,,moe_public_fast_monthly
2020-03,2020,3,전북,114277.23,observed,114277.23,,,,,moe_public_fast_monthly
2020-03,2020,3,제주,115014.1,observed,115014.1,,,,,moe_public_fast_monthly
2020-03,2020,3,충남,150636.25,observed,150636.25,,,,,moe_public_fast_monthly
2020-03,2020,3,충북,132918.35,observed,132918.35,,,,,moe_public_fast_monthly
2020-04,2020,4,강원,112586.72,observed,112586.72,,,,,moe_public_fast_monthly
2020-04,2020,4,경기,241086.51,observed,241086.51,,,,,moe_public_fast_monthly
2020-04,2020,4,경남,125539.6,observed,125539.6,,,,,moe_public_fast_monthly
2020-04,2020,4,경북,272582.96,observed,272582.96,,,,,moe_public_fast_monthly
2020-04,2020,4,광주,37191.46,observed,37191.46,,,,,moe_public_fast_monthly
2020-04,2020,4,대구,92406.65,observed,92406.65,,,,,moe_public_fast_monthly
2020-04,2020,4,대전,55239.53,observed,55239.53,,,,,moe_public_fast_monthly
2020-04,2020,4,부산,32087.9,observed,32087.9,,,,,moe_public_fast_monthly
2020-04,2020,4,서울,77784.84,observed,77784.84,,,,,moe_public_fast_monthly
2020-04,2020,4,세종,15519.85,observed,15519.85,,,,,moe_public_fast_monthly
2020-04,2020,4,울산,48023.12,observed,48023.12,,,,,moe_public_fast_monthly
2020-04,2020,4,인천,62203.64,observed,62203.64,,,,,moe_public_fast_monthly
2020-04,2020,4,전남,112093.81,observed,112093.81,,,,,moe_public_fast_monthly
2020-04,2020,4,전북,136895.79,observed,136895.79,,,,,moe_public_fast_monthly
2020-04,2020,4,제주,105934.37,observed,105934.37,,,,,moe_public_fast_monthly
2020-04,2020,4,충남,176966.25,observed,176966.25,,,,,moe_public_fast_monthly
2020-04,2020,4,충북,161860.67,observed,161860.67,,,,,moe_public_fast_monthly
2020-05,2020,5,강원,134109.17,observed,134109.17,,,,,moe_public_fast_monthly
2020-05,2020,5,경기,258121.79,observed,258121.79,,,,,moe_public_fast_monthly
2020-05,2020,5,경남,155092.57,observed,155092.57,,,,,moe_public_fast_monthly
2020-05,2020,5,경북,317048.75,observed,317048.75,,,,,moe_public_fast_monthly
2020-05,2020,5,광주,37072.53,observed,37072.53,,,,,moe_public_fast_monthly
2020-05,2020,5,대구,109955.34,observed,109955.34,,,,,moe_public_fast_monthly
2020-05,2020,5,대전,63268.48,observed,63268.48,,,,,moe_public_fast_monthly
2020-05,2020,5,부산,37535.71,observed,37535.71,,,,,moe_public_fast_monthly
2020-05,2020,5,서울,89093.5,observed,89093.5,,,,,moe_public_fast_monthly
2020-05,2020,5,세종,16645.17,observed,16645.17,,,,,moe_public_fast_monthly
2020-05,2020,5,울산,51148.5,observed,51148.5,,,,,moe_public_fast_monthly
2020-05,2020,5,인천,65919.4,observed,65919.4,,,,,moe_public_fast_monthly
2020-05,2020,5,전남,119722.34,observed,119722.34,,,,,moe_public_fast_monthly
2020-05,2020,5,전북,159333.72,observed,159333.72,,,,,moe_public_fast_monthly
2020-05,2020,5,제주,121872.91,observed,121872.91,,,,,moe_public_fast_monthly
2020-05,2020,5,충남,192814.85,observed,192814.85,,,,,moe_public_fast_monthly
2020-05,2020,5,충북,178326.04,observed,178326.04,,,,,moe_public_fast_monthly
2020-06,2020,6,강원,142380.82,observed,142380.82,,,,,moe_public_fast_monthly
2020-06,2020,6,경기,292210.42,observed,292210.42,,,,,moe_public_fast_monthly
2020-06,2020,6,경남,165401.59,observed,165401.59,,,,,moe_public_fast_monthly
2020-06,2020,6,경북,339434.78,observed,339434.78,,,,,moe_public_fast_monthly
2020-06,2020,6,광주,41368.41,observed,41368.41,,,,,moe_public_fast_monthly
2020-06,2020,6,대구,127736.14,observed,127736.14,,,,,moe_public_fast_monthly
2020-06,2020,6,대전,71753.51,observed,71753.51,,,,,moe_public_fast_monthly
2020-06,2020,6,부산,46962.63,observed,46962.63,,,,,moe_public_fast_monthly
2020-06,2020,6,서울,118662.68,observed,118662.68,,,,,moe_public_fast_monthly
2020-06,2020,6,세종,21808.47,observed,21808.47,,,,,moe_public_fast_monthly
2020-06,2020,6,울산,54084.23,observed,54084.23,,,,,moe_public_fast_monthly
2020-06,2020,6,인천,79852.91,observed,79852.91,,,,,moe_public_fast_monthly
2020-06,2020,6,전남,121600.66,observed,121600.66,,,,,moe_public_fast_monthly
2020-06,2020,6,전북,166634.29,observed,166634.29,,,,,moe_public_fast_monthly
2020-06,2020,6,제주,139515.31,observed,139515.31,,,,,moe_public_fast_monthly
2020-06,2020,6,충남,199296.91,observed,199296.91,,,,,moe_public_fast_monthly
2020-06,2020,6,충북,181150.25,observed,181150.25,,,,,moe_public_fast_monthly
2020-07,2020,7,강원,160079.66,observed,160079.66,,,,,moe_public_fast_monthly
2020-07,2020,7,경기,374674.43,observed,374674.43,,,,,moe_public_fast_monthly
2020-07,2020,7,경남,183493.09,observed,183493.09,,,,,moe_public_fast_monthly
2020-07,2020,7,경북,370622.14,observed,370622.14,,,,,moe_public_fast_monthly
2020-07,2020,7,광주,47438.06,observed,47438.06,,,,,moe_public_fast_monthly
2020-07,2020,7,대구,144591.62,observed,144591.62,,,,,moe_public_fast_monthly
2020-07,2020,7,대전,84409.22,observed,84409.22,,,,,moe_public_fast_monthly
2020-07,2020,7,부산,49819.36,observed,49819.36,,,,,moe_public_fast_monthly
2020-07,2020,7,서울,128809.0,observed,128809.0,,,,,moe_public_fast_monthly
2020-07,2020,7,세종,26727.87,observed,26727.87,,,,,moe_public_fast_monthly
2020-07,2020,7,울산,59491.25,observed,59491.25,,,,,moe_public_fast_monthly
2020-07,2020,7,인천,90653.51,observed,90653.51,,,,,moe_public_fast_monthly
2020-07,2020,7,전남,133690.7,observed,133690.7,,,,,moe_public_fast_monthly
2020-07,2020,7,전북,176142.6,observed,176142.6,,,,,moe_public_fast_monthly
2020-07,2020,7,제주,148297.31,observed,148297.31,,,,,moe_public_fast_monthly
2020-07,2020,7,충남,221351.2,observed,221351.2,,,,,moe_public_fast_monthly
2020-07,2020,7,충북,194331.05,observed,194331.05,,,,,moe_public_fast_monthly
2020-08,2020,8,강원,172769.11,observed,172769.11,,,,,moe_public_fast_monthly
2020-08,2020,8,경기,389720.26,observed,389720.26,,,,,moe_public_fast_monthly
2020-08,2020,8,경남,237214.24,observed,237214.24,,,,,moe_public_fast_monthly
