기준월,연도,월,시도,예측값,value_status,component_moe_scaled,component_load_share,weight_moe,weight_load,모형ID,충전량_kWh,관측값,estimated_value,출처ID
2019-09,2019,9,경기,264976.48,estimated,264976.48,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,264976.48,,264976.48,kepco_hybrid_forecast_v1
2019-09,2019,9,경남,162342.58,estimated,162342.58,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,162342.58,,162342.58,kepco_hybrid_forecast_v1
2019-09,2019,9,경북,161215.64,estimated,161215.64,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,161215.64,,161215.64,kepco_hybrid_forecast_v1
2019-09,2019,9,광주,76475.96,estimated,76475.96,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,76475.96,,76475.96,kepco_hybrid_forecast_v1
2019-09,2019,9,대구,173645.44,estimated,173645.44,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,173645.44,,173645.44,kepco_hybrid_forecast_v1
2019-09,2019,9,대전,100815.35,estimated,100815.35,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,100815.35,,100815.35,kepco_hybrid_forecast_v1
2019-09,2019,9,부산,62150.13,estimated,62150.13,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,62150.13,,62150.13,kepco_hybrid_forecast_v1
2019-09,2019,9,서울,155427.98,estimated,155427.98,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,155427.98,,155427.98,kepco_hybrid_forecast_v1
2019-09,2019,9,세종,47245.24,estimated,47245.24,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,47245.24,,47245.24,kepco_hybrid_forecast_v1
2019-09,2019,9,울산,30319.95,estimated,30319.95,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,30319.95,,30319.95,kepco_hybrid_forecast_v1
2019-09,2019,9,인천,60605.06,estimated,60605.06,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,60605.06,,60605.06,kepco_hybrid_forecast_v1
2019-09,2019,9,전남,167053.42,estimated,167053.42,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,167053.42,,167053.42,kepco_hybrid_forecast_v1
2019-09,2019,9,전북,73485.84,estimated,73485.84,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,73485.84,,73485.84,kepco_hybrid_forecast_v1
2019-09,2019,9,제주,367655.64,estimated,367655.64,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,367655.64,,367655.64,kepco_hybrid_forecast_v1
2019-09,2019,9,충남,76199.04,estimated,76199.04,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,76199.04,,76199.04,kepco_hybrid_forecast_v1
2019-09,2019,9,충북,107701.33,estimated,107701.33,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,107701.33,,107701.33,kepco_hybrid_forecast_v1
2019-10,2019,10,강원,154315.92,estimated,154315.92,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,154315.92,,154315.92,kepco_hybrid_forecast_v1
2019-10,2019,10,경기,291949.94,estimated,291949.94,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,291949.94,,291949.94,kepco_hybrid_forecast_v1
2019-10,2019,10,경남,175732.25,estimated,175732.25,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,175732.25,,175732.25,kepco_hybrid_forecast_v1
2019-10,2019,10,경북,176109.57,estimated,176109.57,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,176109.57,,176109.57,kepco_hybrid_forecast_v1
2019-10,2019,10,광주,82187.21,estimated,82187.21,0.0,1.0,0.0,kepco_hybrid_moe_load_v1,82187.21,,82187.21,kepco_hybrid_forecast_v1
