기준월,연도,월,시도,metric_name,예측값,component_moe_scaled,component_load_share,weight_moe,weight_load,ratio_applied,load_index_applied,모형ID,value_status,data_quality_note,generated_at,예측버전
2019-06,2019,6,전북,charge_kwh_sum,61355.01,61355.01,241581.7,1.0,0.0,0.6028,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-06,2019,6,전남,charge_kwh_sum,137940.73,137940.73,308360.38,1.0,0.0,1.6269,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-06,2019,6,경북,charge_kwh_sum,133054.22,133054.22,312288.54,1.0,0.0,0.5455,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-06,2019,6,경남,charge_kwh_sum,144737.12,144737.12,357462.35,1.0,0.0,1.2273,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-06,2019,6,제주,charge_kwh_sum,357976.02,357976.02,326037.09,1.0,0.0,2.5602,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-07,2019,7,서울,charge_kwh_sum,157565.3,157565.3,0.0,1.0,0.0,2.2049,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-07,2019,7,부산,charge_kwh_sum,56540.29,56540.29,0.0,1.0,0.0,2.0446,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-07,2019,7,대구,charge_kwh_sum,163890.46,163890.46,0.0,1.0,0.0,2.2181,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-07,2019,7,인천,charge_kwh_sum,61555.4,61555.4,0.0,1.0,0.0,1.2018,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-07,2019,7,광주,charge_kwh_sum,77872.91,77872.91,0.0,1.0,0.0,2.305,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-07,2019,7,대전,charge_kwh_sum,79775.7,79775.7,0.0,1.0,0.0,1.7782,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-07,2019,7,울산,charge_kwh_sum,22649.93,22649.93,0.0,1.0,0.0,0.5719,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
2019-07,2019,7,세종,charge_kwh_sum,48459.51,48459.51,0.0,1.0,0.0,2.8987,,kepco_hybrid_moe_load_v1,estimated,source_truncated_excel_cap,2026-08-11T07:19:12.117877+00:00,1.0.0
