기준월,연도,월,권역,충전속도코드,충전속도,누적충전기,지리단위,출처ID,전국대비비중
2024-05,2024,5,경상,완속,완속,69000,region8,me_charger_status_cumulative_stock_monthly,22.7
2024-05,2024,5,서울,완속,완속,51328,region8,me_charger_status_cumulative_stock_monthly,16.9
2024-05,2024,5,인천,완속,완속,17471,region8,me_charger_status_cumulative_stock_monthly,5.7
2024-05,2024,5,전국,완속,완속,304356,national,me_charger_status_cumulative_stock_monthly,100.0
2024-05,2024,5,전라,완속,완속,28009,region8,me_charger_status_cumulative_stock_monthly,9.2
2024-05,2024,5,제주,완속,완속,5824,region8,me_charger_status_cumulative_stock_monthly,1.9
2024-05,2024,5,충청,완속,완속,36037,region8,me_charger_status_cumulative_stock_monthly,11.8
2024-06,2024,6,강원,급속,급속,2171,region8,me_charger_status_cumulative_stock_monthly,5.3
2024-06,2024,6,경기,급속,급속,9235,region8,me_charger_status_cumulative_stock_monthly,22.5
2024-06,2024,6,경상,급속,급속,10220,region8,me_charger_status_cumulative_stock_monthly,25.0
2024-06,2024,6,서울,급속,급속,4656,region8,me_charger_status_cumulative_stock_monthly,11.4
2024-06,2024,6,인천,급속,급속,1617,region8,me_charger_status_cumulative_stock_monthly,3.9
2024-06,2024,6,전국,급속,급속,40961,national,me_charger_status_cumulative_stock_monthly,100.0
2024-06,2024,6,전라,급속,급속,5312,region8,me_charger_status_cumulative_stock_monthly,13.0
2024-06,2024,6,제주,급속,급속,2206,region8,me_charger_status_cumulative_stock_monthly,5.4
2024-06,2024,6,충청,급속,급속,5544,region8,me_charger_status_cumulative_stock_monthly,13.5
2024-06,2024,6,강원,완속,완속,10306,region8,me_charger_status_cumulative_stock_monthly,3.3
2024-06,2024,6,경기,완속,완속,88933,region8,me_charger_status_cumulative_stock_monthly,28.6
2024-06,2024,6,경상,완속,완속,70422,region8,me_charger_status_cumulative_stock_monthly,22.7
2024-06,2024,6,서울,완속,완속,52099,region8,me_charger_status_cumulative_stock_monthly,16.8
2024-06,2024,6,인천,완속,완속,17852,region8,me_charger_status_cumulative_stock_monthly,5.7
2024-06,2024,6,전국,완속,완속,310575,national,me_charger_status_cumulative_stock_monthly,100.0
2024-06,2024,6,전라,완속,완속,28560,region8,me_charger_status_cumulative_stock_monthly,9.2
2024-06,2024,6,제주,완속,완속,5808,region8,me_charger_status_cumulative_stock_monthly,1.9
2024-06,2024,6,충청,완속,완속,36595,region8,me_charger_status_cumulative_stock_monthly,11.8
2024-07,2024,7,강원,급속,급속,2243,region8,me_charger_status_cumulative_stock_monthly,5.3
2024-07,2024,7,경기,급속,급속,9480,region8,me_charger_status_cumulative_stock_monthly,22.6
2024-07,2024,7,경상,급속,급속,10539,region8,me_charger_status_cumulative_stock_monthly,25.1
2024-07,2024,7,서울,급속,급속,4706,region8,me_charger_status_cumulative_stock_monthly,11.2
2024-07,2024,7,인천,급속,급속,1680,region8,me_charger_status_cumulative_stock_monthly,4.0
2024-07,2024,7,전국,급속,급속,41954,national,me_charger_status_cumulative_stock_monthly,100.0
2024-07,2024,7,전라,급속,급속,5418,region8,me_charger_status_cumulative_stock_monthly,12.9
2024-07,2024,7,제주,급속,급속,2178,region8,me_charger_status_cumulative_stock_monthly,5.2
2024-07,2024,7,충청,급속,급속,5710,region8,me_charger_status_cumulative_stock_monthly,13.6
2024-07,2024,7,강원,완속,완속,10535,region8,me_charger_status_cumulative_stock_monthly,3.3
2024-07,2024,7,경기,완속,완속,90194,region8,me_charger_status_cumulative_stock_monthly,28.6
2024-07,2024,7,경상,완속,완속,71805,region8,me_charger_status_cumulative_stock_monthly,22.8
2024-07,2024,7,서울,완속,완속,52694,region8,me_charger_status_cumulative_stock_monthly,16.7
2024-07,2024,7,인천,완속,완속,17968,region8,me_charger_status_cumulative_stock_monthly,5.7
2024-07,2024,7,전국,완속,완속,315213,national,me_charger_status_cumulative_stock_monthly,100.0
2024-07,2024,7,전라,완속,완속,29064,region8,me_charger_status_cumulative_stock_monthly,9.2
2024-07,2024,7,제주,완속,완속,5850,region8,me_charger_status_cumulative_stock_monthly,1.9
2024-07,2024,7,충청,완속,완속,37103,region8,me_charger_status_cumulative_stock_monthly,11.8
2024-08,2024,8,강원,급속,급속,2258,region8,me_charger_status_cumulative_stock_monthly,5.3
2024-08,2024,8,경기,급속,급속,9682,region8,me_charger_status_cumulative_stock_monthly,22.6
2024-08,2024,8,경상,급속,급속,10858,region8,me_charger_status_cumulative_stock_monthly,25.3
2024-08,2024,8,서울,급속,급속,4751,region8,me_charger_status_cumulative_stock_monthly,11.1
2024-08,2024,8,인천,급속,급속,1724,region8,me_charger_status_cumulative_stock_monthly,4.0
2024-08,2024,8,전국,급속,급속,42882,national,me_charger_status_cumulative_stock_monthly,100.0
2024-08,2024,8,전라,급속,급속,5575,region8,me_charger_status_cumulative_stock_monthly,13.0
2024-08,2024,8,제주,급속,급속,2222,region8,me_charger_status_cumulative_stock_monthly,5.2
2024-08,2024,8,충청,급속,급속,5812,region8,me_charger_status_cumulative_stock_monthly,13.6
2024-08,2024,8,강원,완속,완속,10709,region8,me_charger_status_cumulative_stock_monthly,3.3
2024-08,2024,8,경기,완속,완속,92350,region8,me_charger_status_cumulative_stock_monthly,28.7
2024-08,2024,8,경상,완속,완속,73288,region8,me_charger_status_cumulative_stock_monthly,22.8
2024-08,2024,8,서울,완속,완속,53431,region8,me_charger_status_cumulative_stock_monthly,16.6
2024-08,2024,8,인천,완속,완속,18472,region8,me_charger_status_cumulative_stock_monthly,5.7
2024-08,2024,8,전국,완속,완속,321867,national,me_charger_status_cumulative_stock_monthly,100.0
2024-08,2024,8,전라,완속,완속,29932,region8,me_charger_status_cumulative_stock_monthly,9.3
2024-08,2024,8,제주,완속,완속,5930,region8,me_charger_status_cumulative_stock_monthly,1.8
2024-08,2024,8,충청,완속,완속,37755,region8,me_charger_status_cumulative_stock_monthly,11.7
2024-09,2024,9,강원,급속,급속,2274,region8,me_charger_status_cumulative_stock_monthly,5.3
2024-09,2024,9,경기,급속,급속,9803,region8,me_charger_status_cumulative_stock_monthly,22.7
2024-09,2024,9,경상,급속,급속,10902,region8,me_charger_status_cumulative_stock_monthly,25.2
2024-09,2024,9,서울,급속,급속,4770,region8,me_charger_status_cumulative_stock_monthly,11.0
2024-09,2024,9,인천,급속,급속,1745,region8,me_charger_status_cumulative_stock_monthly,4.0
2024-09,2024,9,전국,급속,급속,43224,national,me_charger_status_cumulative_stock_monthly,100.0
2024-09,2024,9,전라,급속,급속,5636,region8,me_charger_status_cumulative_stock_monthly,13.0
2024-09,2024,9,제주,급속,급속,2228,region8,me_charger_status_cumulative_stock_monthly,5.2
2024-09,2024,9,충청,급속,급속,5866,region8,me_charger_status_cumulative_stock_monthly,13.6
2024-09,2024,9,강원,완속,완속,10835,region8,me_charger_status_cumulative_stock_monthly,3.3
2024-09,2024,9,경기,완속,완속,94429,region8,me_charger_status_cumulative_stock_monthly,28.9
2024-09,2024,9,경상,완속,완속,73968,region8,me_charger_status_cumulative_stock_monthly,22.6
2024-09,2024,9,서울,완속,완속,54014,region8,me_charger_status_cumulative_stock_monthly,16.5
2024-09,2024,9,인천,완속,완속,18757,region8,me_charger_status_cumulative_stock_monthly,5.7
2024-09,2024,9,전국,완속,완속,326803,national,me_charger_status_cumulative_stock_monthly,100.0
